source,name,primary_language,all_languages,classification,antipatterns,last_activity,stars_or_commits,forks,description
github:hyperpolymath,claude-gecko-browser-extension,Nickel,"Just Shell Nickel Haskell JavaScript CSS HTML",MIGRATE,DIRECT_FFI_NO_HEXADECA,2026-07-15T19:50:50Z,2,0,"Claude browser extension for Gecko/Firefox"
github:hyperpolymath,robot-vacuum-cleaner,Rust,"Dockerfile Shell SaltStack Rust Julia Scheme Nickel Just",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T19:50:41Z,3,0,"A comprehensive  production-grade robot vacuum cleaner simulation system with dual Julia and Rust implementations  GraphQL API  SLAM algorithms  and enterprise CI/CD infrastructure."
github:hyperpolymath,metadata-grammar,Nickel,"Scheme Nickel Zig Shell Just",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T19:43:49Z,2,0,"Formal  integrated metadata framework succeeding VoID  Dublin Core  and DCAT - compositional grammar with Idris2 proofs and verisimdb integration"
github:hyperpolymath,no-nonsense-nntps,Elixir,"Scheme Elixir Nickel Zig HTML ReScript JavaScript Shell Just",MIGRATE,DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA,2026-07-15T19:43:38Z,2,0,"Modern  secure NNTPS newsgroup reader with formally verified components"
github:hyperpolymath,natsci-studio,Just,"Dockerfile Shell Nickel Just Scheme Idris Zig Agda Rocq Prover Lean TLA",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T19:43:36Z,2,0,"Standards-compliant monorepo of natural-sciences libraries with a Haskell console for minting  verifying  and observing scientific modules."
github:hyperpolymath,grim-repo,JavaScript,"JavaScript Just Shell Scheme Nickel",MIGRATE,DENO_NOT_BUN,2026-07-15T19:43:29Z,2,0,"Modular audit-grade tooling for narratable repositories"
github:hyperpolymath,jaffascript,Just,"Shell Just Dockerfile Nickel Scheme Idris Zig Agda Rocq Prover Lean TLA",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T19:43:20Z,2,0,"JavaScript/TypeScript-syntax AffineScript — affine resource guarantees + typed-wasm output for JS/TS-shaped code"
github:hyperpolymath,pseudoscript,Just,"Shell Just Dockerfile Nickel Scheme Idris Zig Agda Rocq Prover Lean TLA",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T19:43:16Z,2,0,"Pseudocode-syntax AffineScript — first-language for CS pedagogy that compiles and runs"
github:hyperpolymath,qubes-sdp,Shell,"Just Nickel SaltStack Shell ReScript CSS HTML",MIGRATE,NONE,2026-07-15T19:43:11Z,2,0,"Qubes OS Software-Defined Perimeter integration"
github:hyperpolymath,heterogenous-mobile-computing,Rust,"Just Rust Dockerfile Shell Scheme",CLEAN,UNVERIFIED_RUST DIRECT_FFI_NO_HEXADECA,2026-07-15T19:43:07Z,3,0,"Platform-agnostic Rust library for AI routing on mobile devices"
github:hyperpolymath,atsiser,Rust,"Dockerfile Shell Scheme Nickel Just Rust Idris Zig",CLEAN,UNVERIFIED_RUST DIRECT_FFI_NO_HEXADECA,2026-07-15T19:42:17Z,2,0,"Wrap C codebases in ATS linear types for zero-cost memory safety"
github:hyperpolymath,rattlescript,Just,"Dockerfile Shell Scheme Nickel Just Idris Zig Agda Rocq Prover Lean TLA",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T19:42:06Z,2,0,"Python-syntax AffineScript — write Python-style code  get affine resource guarantees and typed WASM"
github:hyperpolymath,network-ambulance,Shell,"Scheme Just HTML Shell Rust Ada D ReScript CSS JavaScript",MIGRATE,DENO_NOT_BUN VITE_DEBATE,2026-07-15T19:40:39Z,3,0,"Platform-independent complete internet repair tool — cross-platform successor/extension to Windows Complete Internet Repair. Lives canonically in aerie; extracted subset lands in ambientops."
github:hyperpolymath,ipfs-overlay,TypeScript,"Just Scheme Shell Nickel TypeScript Idris",MIGRATE,DENO_NOT_BUN,2026-07-15T19:37:44Z,3,1,"IPFS nodes in Kubernetes with ZeroTier overlay network"
github:hyperpolymath,scaffoldia,Just,"Dockerfile Shell Just Nickel Scheme Idris Zig Agda Rocq Prover Lean TLA",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T19:37:30Z,1,0,"Full-featured repository designer for the RSR estate: composes spine × variant pack × features × profile into new repos and retrofits existing ones. Design phase — consumes VARIANT.a2ml contracts; top of the scaffolding stack (standards → rsr-template-repo → scaffoldia)."
github:hyperpolymath,ipv6-tools,Shell,"Dockerfile Shell Scheme Just Nickel Rust NCL",CLEAN,UNVERIFIED_RUST,2026-07-15T19:37:22Z,2,0,"IPv6 policy enforcement and tooling"
